symbol,list_name,transcript_cluster_id,feature_label,feature_type,seqname,strand,start,stop,n_probes,DNp73beta_mean_log2,DNp73beta_sd_log2,GFP_mean_log2,GFP_sd_log2,TAp73alpha_mean_log2,TAp73alpha_sd_log2,log2FC_TAp73alpha_vs_GFP,log2FC_DNp73beta_vs_GFP,log2FC_TAp73alpha_vs_DNp73beta,p_TAp73alpha_vs_GFP,p_DNp73beta_vs_GFP,p_TAp73alpha_vs_DNp73beta,p_paired_TAp73alpha_vs_GFP,p_paired_DNp73beta_vs_GFP,p_paired_TAp73alpha_vs_DNp73beta,q_TAp73alpha_vs_GFP,q_DNp73beta_vs_GFP,q_TAp73alpha_vs_DNp73beta,q_paired_TAp73alpha_vs_GFP,q_paired_DNp73beta_vs_GFP,q_paired_TAp73alpha_vs_DNp73beta
TP73,TP73 probe pattern,TC0100006620.hg.1,PSR0100145779.hg.1,probeset_region,chr1,+,3652520.0,3652564.0,6,7.272895206670458,0.119986977333754,7.446415416218422,0.044114780649550864,9.42254630969952,0.177655287073639,1.9761308934810975,-0.17352020954796465,2.149651103029062,0.0016416527460597938,0.11629609152841053,0.0001573041459314736,0.004056075099742641,0.1493249638453535,0.0018163009190689315,0.0029108751014018685,0.2484507409925134,0.0010561849798256084,0.00654592681424002,0.25993604817524496,0.006566626399710752
TP73,TP73 probe pattern,TC0100006620.hg.1,PSR0100145780.hg.1,probeset_region,chr1,+,3652565.0,3652641.0,6,8.558111778372016,0.29959645764757087,8.896266875662894,0.28821333467663723,12.729568941055161,0.05317369223775516,3.8333020653922674,-0.338155097290878,4.171457162683145,0.0013925123884644508,0.23175781440849894,0.0012917578071611245,0.0012536397454887267,0.08944905011587666,0.001254105721005033,0.0028455687938186603,0.40110201088915914,0.005059384744714405,0.0029460534018985077,0.1827871893672262,0.00581502934915896
TP73,TP73 probe pattern,TC0100006620.hg.1,PSR0100145781.hg.1,probeset_region,chr1,+,3682333.0,3682365.0,6,8.24618969754983,0.18963971097880233,8.526831943762108,0.3419423383966553,13.161048062659896,0.0320824969401715,4.634216118897788,-0.2806422462122775,4.9148583651100655,0.00167220484548618,0.2989433028847689,0.00035700070685497343,0.001810200596538219,0.09631071001105573,0.0005402592216868762,0.0029108751014018685,0.4390729761120043,0.002097379152772969,0.003419300788638207,0.18860847377165083,0.0036274547741833117
TP73,TP73 probe pattern,TC0100006620.hg.1,PSR0100145782.hg.1,probeset_region,chr1,+,3682366.0,3682430.0,6,6.345949807673352,0.08860075621457426,6.467152797044018,0.41855661283574164,13.263110848503672,0.0676990602289486,6.795958051459654,-0.12120298937066565,6.91716104083032,0.0009809341023809927,0.6686562963226371,1.1442985920770512e-07,0.0014150671736672612,0.719084608640566,6.333571848976557e-05,0.0021954239434241267,0.8067512841109514,5.378203382762141e-06,0.003167055102969585,0.8243165025879658,0.001488389384509491
TP73,TP73 probe pattern,TC0100006620.hg.1,PSR0100145783.hg.1,probeset_region,chr1,+,3683060.0,3683180.0,6,6.415376639717519,0.32478518898216213,6.523306902822347,0.8199634456728191,13.257289843326225,0.02843055051727971,6.733982940503878,-0.10793026310482823,6.841913203608706,0.004864549454895419,0.8475694857773645,0.0006909681023161979,0.005249212908869821,0.8819800913900478,0.000641585371891301,0.007144807011877647,0.9264131588729333,0.00324755008088613,0.00770978145990255,0.950864588404599,0.003769314059861394
TP73,TP73 probe pattern,TC0100006620.hg.1,PSR0100145784.hg.1,probeset_region,chr1,+,3690672.0,3690706.0,6,5.147192014423269,0.10388247655998549,5.366894759722996,0.10346247371351272,5.247509704785277,0.02069331535174169,-0.11938505493771867,-0.21970274529972666,0.100317690362008,0.17957988877187472,0.06033589294575773,0.23347373826331938,0.15868026785956654,0.19159310581229724,0.23649870134631967,0.22211196769152927,0.14178934842253066,0.28877014995726347,0.1962624365631481,0.3216027133277847,0.3004172692777574
TP73,TP73 probe pattern,TC0100006620.hg.1,PSR0100145785.hg.1,probeset_region,chr1,+,3690707.0,3690905.0,6,5.8170309594315555,0.10138195890520948,5.949189421095312,0.07102927904800804,6.275588305304171,0.032048527013766766,0.3263988842088592,-0.13215846166375655,0.45855734587261576,0.00692922610762478,0.14641780324903295,0.010312913688675247,0.010524261814861569,0.2603519381422828,0.012819349189260166,0.009868897789647413,0.2867348646960229,0.02851217313927862,0.014989100160560416,0.38239190914647786,0.035441730111483986
TP73,TP73 probe pattern,TC0100006620.hg.1,PSR0100145786.hg.1,probeset_region,chr1,+,3690906.0,3690944.0,6,6.834625360553326,0.10127950040369449,6.930209556771527,0.04132376828916107,7.2937760982492605,0.21980843486605472,0.3635665414777334,-0.09558419621820136,0.45915073769593473,0.09856384459627646,0.23895438946588204,0.05071219984286698,0.12891855225400883,0.11494051882951875,0.12456256105555243,0.125202721514189,0.40110201088915914,0.11917366963073739,0.1683103321094004,0.21608817539949526,0.201877254124516
TP73,TP73 probe pattern,TC0100006620.hg.1,PSR0100145788.hg.1,probeset_region,chr1,+,3698058.0,3698151.0,6,5.483395261415922,0.1264035947480851,5.348575534692967,0.10967103926120673,5.514714438556042,0.14988556363527247,0.16613890386307517,0.13481972672295495,0.031319177140120225,0.20259973121936395,0.23672102547754326,0.7961131870781488,0.1645987737195477,0.2363318480027115,0.8497666551300228,0.24415865044384888,0.40110201088915914,0.8134199954928912,0.19836262473894212,0.37025322853758136,0.8682398432850233
TP73,TP73 probe pattern,TC0100006620.hg.1,PSR0100145789.hg.1,probeset_region,chr1,+,3707549.0,3707575.0,3,5.624888276294844,0.14832975620559732,5.436821625369301,0.2991062988790756,13.25246844564766,0.008411751931660333,7.815646820278358,0.18806665092554287,7.627580169352815,0.00048337608498437987,0.40279479534274304,0.00012035461933838924,0.00048698531910873434,0.5378797087586951,0.00013169326568238338,0.0011957197891718872,0.5568045700326153,0.0010013623526459142,0.0016252813614378214,0.6832526030178018,0.0015473958717680046
