symbol,list_name,transcript_cluster_id,feature_label,feature_type,seqname,strand,start,stop,n_probes,DNp73beta_mean_log2,DNp73beta_sd_log2,GFP_mean_log2,GFP_sd_log2,TAp73alpha_mean_log2,TAp73alpha_sd_log2,log2FC_TAp73alpha_vs_GFP,log2FC_DNp73beta_vs_GFP,log2FC_TAp73alpha_vs_DNp73beta,p_TAp73alpha_vs_GFP,p_DNp73beta_vs_GFP,p_TAp73alpha_vs_DNp73beta,p_paired_TAp73alpha_vs_GFP,p_paired_DNp73beta_vs_GFP,p_paired_TAp73alpha_vs_DNp73beta,q_TAp73alpha_vs_GFP,q_DNp73beta_vs_GFP,q_TAp73alpha_vs_DNp73beta,q_paired_TAp73alpha_vs_GFP,q_paired_DNp73beta_vs_GFP,q_paired_TAp73alpha_vs_DNp73beta,max_abs_variant_log2FC_vs_GFP
TP73,TP73 probe pattern,TC0100006620.hg.1,PSR0100145789.hg.1,probeset_region,chr1,+,3707549.0,3707575.0,3,5.624888276294844,0.14832975620559732,5.436821625369301,0.2991062988790756,13.25246844564766,0.008411751931660333,7.815646820278358,0.18806665092554287,7.627580169352815,0.00048337608498437987,0.40279479534274304,0.00012035461933838924,0.00048698531910873434,0.5378797087586951,0.00013169326568238338,0.0011957197891718872,0.5568045700326153,0.0010013623526459142,0.0016252813614378214,0.6832526030178018,0.0015473958717680046,7.815646820278358
TP73,TP73 probe pattern,TC0100006620.hg.1,PSR0100145802.hg.1,probeset_region,chr1,+,3731463.0,3731555.0,6,6.073279880993296,0.5199462900532128,6.060355435010592,0.7215402597038724,13.150994125845818,0.07862359703414873,7.090638690835226,0.012924445982704036,7.077714244852522,0.0031337674343841454,0.9812387120418193,0.0014622060537956324,0.003960174891556391,0.9870529591859172,0.0013609643157606076,0.005078864462622581,0.9812387120418193,0.005248936560296186,0.00654592681424002,0.9870529591859172,0.00581502934915896,7.090638690835226
TP73,TP73 probe pattern,TC0100006620.hg.1,PSR0100145793.hg.1,probeset_region,chr1,+,3723354.0,3723469.0,6,13.084891432142529,0.19576576888584749,6.31748385074414,0.29159694873628866,13.324084247101034,0.04936306431794096,7.006600396356894,6.7674075813983885,0.2391928149585052,0.00041870071574084174,1.6564520896332333e-05,0.16208111351417936,0.000730397709814695,0.0001276649865166317,0.19971259648270195,0.0010932740911010867,0.00011121892601823139,0.2116058981990675,0.0020193348447818038,0.001401893143342596,0.26073588985241647,7.006600396356894
TP73,TP73 probe pattern,TC0100006620.hg.1,PSR0100145782.hg.1,probeset_region,chr1,+,3682366.0,3682430.0,6,6.345949807673352,0.08860075621457426,6.467152797044018,0.41855661283574164,13.263110848503672,0.0676990602289486,6.795958051459654,-0.12120298937066565,6.91716104083032,0.0009809341023809927,0.6686562963226371,1.1442985920770512e-07,0.0014150671736672612,0.719084608640566,6.333571848976557e-05,0.0021954239434241267,0.8067512841109514,5.378203382762141e-06,0.003167055102969585,0.8243165025879658,0.001488389384509491,6.795958051459654
TP73,TP73 probe pattern,TC0100006620.hg.1,PSR0100145783.hg.1,probeset_region,chr1,+,3683060.0,3683180.0,6,6.415376639717519,0.32478518898216213,6.523306902822347,0.8199634456728191,13.257289843326225,0.02843055051727971,6.733982940503878,-0.10793026310482823,6.841913203608706,0.004864549454895419,0.8475694857773645,0.0006909681023161979,0.005249212908869821,0.8819800913900478,0.000641585371891301,0.007144807011877647,0.9264131588729333,0.00324755008088613,0.00770978145990255,0.950864588404599,0.003769314059861394,6.733982940503878
TP73,TP73 probe pattern,TC0100006620.hg.1,PSR0100145792.hg.1,probeset_region,chr1,+,3722021.0,3722207.0,6,12.806949138307866,0.19705325404959512,6.463027144974973,0.17585179906271664,13.152966093645118,0.08862688016839947,6.689938948670145,6.343921993332893,0.34601695533725163,1.2494453468089328e-05,2.2821698641320544e-06,0.07566621677793973,0.000353998899160062,0.00017896508212884204,0.1644113124475336,0.0001468098282500496,8.797551029666176e-05,0.1546222690679638,0.001279842173886378,0.001401893143342596,0.241479115157315,6.689938948670145
TP73,TP73 probe pattern,TC0100006620.hg.1,PSR0100145794.hg.1,probeset_region,chr1,+,3727115.0,3727224.0,6,13.261376085650078,0.1883026783392006,7.034535620606946,0.536035304239069,13.497796024829055,0.04310209979126043,6.463260404222109,6.226840465043131,0.23641993917897786,0.0021622612027239205,0.0009376412000911776,0.15595460116162937,0.0024758790804940522,0.0011776889043547103,0.17350120100551908,0.003629509876000867,0.0031477954574489534,0.2116058981990675,0.00430986358456372,0.004206722338286742,0.24710777112907262,6.463260404222109
TP73,TP73 probe pattern,TC0100006620.hg.1,PSR0100145801.hg.1,probeset_region,chr1,+,3730927.0,3731065.0,6,12.991449721969127,0.22224022611974456,7.124232992254598,0.15649507279767075,13.406561930406703,0.015254019356861766,6.282328938152105,5.86721672971453,0.41511220843757535,0.0001822058878580122,8.728139342418695e-06,0.08303455497265928,0.0002488954280445136,0.00017415125513255266,0.09153889016552852,0.0006116911949518981,0.00010255563727341967,0.15610496334859947,0.001279842173886378,0.001401893143342596,0.17317108092057082,6.282328938152105
TP73,TP73 probe pattern,TC0100006620.hg.1,PSR0100145800.hg.1,probeset_region,chr1,+,3730000.0,3730148.0,6,12.751869256373757,0.22854894942112447,6.808581088461225,0.14212524342040705,13.066928742617131,0.05926196553570548,6.258347654155906,5.943288167912532,0.3150594862433742,1.8948395923560127e-05,1.544809488299861e-05,0.1319728471529905,0.0001447090341498944,0.0002314966362606766,0.09025385214721052,0.0001781149216814652,0.00011121892601823139,0.20008786503840498,0.001279842173886378,0.00147108090792793,0.17317108092057082,6.258347654155906
TP73,TP73 probe pattern,TC0100006620.hg.1,PSR0100145796.hg.1,probeset_region,chr1,+,3727628.0,3727770.0,6,12.643350179309175,0.20717436206352097,6.754776532608343,0.20939602888148068,12.96886207374436,0.042392934545214464,6.214085541136017,5.8885736467008325,0.32551189443518425,0.0002316632129062782,4.1558747560134354e-06,0.10720284672954174,0.0005187068174801558,0.0011946502571217792,0.08123021788239758,0.0007092780501357155,8.797551029666176e-05,0.17706816516733742,0.0016252813614378214,0.004206722338286742,0.17317108092057082,6.214085541136017
